Price,Returns,Volatility,Momentum,Intraday_Range,Regime,gamma_0,gamma_1,gamma_2
2008-04-25,0.0064737365287359,0.1872347233232095,0.6353073158867939,0.0136854041596859,1,4.12458716400998e-07,0.9999894956787656,1.0091862902229572e-05
2008-04-28,-0.0010521548912095,0.1838449203120727,0.7184649475692683,0.0060872118634192,1,5.545350100221964e-07,0.9999844114186945,1.5034045109149104e-05
2008-04-29,-0.0038962732556066,0.1849796200659625,0.6036560437880638,0.0074050996175374,1,8.829632958856238e-07,0.9999869963002879,1.2120735144943376e-05
2008-04-30,-0.0038537184080868,0.1420436511424947,0.1342063172543008,0.014665194458905,1,0.0002093201273902306,0.9997850237800623,5.656093963411694e-06
2008-05-01,0.0169954684034422,0.1526418161140692,0.3613832532725406,0.0191579041642266,1,1.28175118785214e-06,0.9999597750261777,3.894322100110514e-05
2008-05-02,0.0032303754374388,0.1527668919729362,0.3845382571344775,0.0116486105231877,1,0.0002547737730130445,0.9997399742472228,5.251978385802054e-06
2008-05-05,-0.0045438916104296,0.1542015501189063,0.3204634011522112,0.0077939955376153,1,0.0001997255413754171,0.9997944481321883,5.8263255519562024e-06
2008-05-06,0.0076228057559777,0.1557666835656553,0.3932125043220678,0.0172535152472985,1,1.8077552544224306e-05,0.9999707688855346,1.1153560528457024e-05
2008-05-07,-0.0182798527423704,0.1689908095033826,0.2352112665404855,0.0203795902377757,1,1.2075577302799099e-08,0.9999728738698945,2.7114053638701748e-05
2008-05-08,0.0036628353266756,0.165935259038232,0.3766651812579162,0.009272480424322,1,4.209566252516442e-05,0.999953126767565,4.777571717687907e-06
2008-05-09,-0.0067481656630263,0.1679407364906116,0.2421183156104932,0.0077722353090138,1,5.356339724864705e-05,0.9999399687960788,6.467805101313497e-06
2008-05-12,0.010960492292485,0.1517168279407953,0.6206593923943217,0.01272468115894,1,0.0013818616905441645,0.9986071395277043,1.0998780590546054e-05
2008-05-13,-0.0003847453519088,0.1506093948189304,0.6567167213153043,0.0071559177093824,1,0.01127100774992196,0.9887200387629415,8.953488779087177e-06
2008-05-14,0.0039975832806234,0.150525136263541,0.6496157704409798,0.0103218069934486,1,0.035034970269464914,0.9649575717624918,7.457966647993312e-06
2008-05-15,0.0105288411960375,0.1356454417334011,0.5067100816478584,0.0123141327495512,1,0.08734960182896719,0.9126406273624815,9.770808631193397e-06
2008-05-16,0.0012496171021445,0.1355819825277663,0.5142328397495527,0.0080471258986129,1,0.13342616453703898,0.8665671706663939,6.664795442188755e-06
2008-05-19,0.0008976426143178,0.1225729877490208,0.3092871078475163,0.0130447174725525,1,0.13934711073322142,0.860644974902021,7.914363365243208e-06
2008-05-20,-0.0093168565354589,0.1276374980138651,0.2161416230397351,0.010895729551474,1,0.10209348435276282,0.897895995690721,1.0519957347865737e-05
2008-05-21,-0.0161837865360712,0.136861280488892,0.1281274642449348,0.0217945778593583,1,0.0003251119666819191,0.9996128907115739,6.199732111806174e-05
2008-05-22,0.0026139593430798,0.1368028222058573,0.1247463262448953,0.0063398472227876,1,0.00149710138582987,0.9984965351237743,6.363489977571509e-06
2008-05-23,-0.013298434194715,0.1429558869973685,-0.1118942628950983,0.0134309010977038,1,0.00018239485865169475,0.9998110069926486,6.598147642460009e-06
2008-05-27,0.0068228925121217,0.1431737268706042,-0.1077043910944686,0.0103440129768934,1,0.0003266425774779762,0.9996691231720048,4.234251617992731e-06
2008-05-28,0.0039550589164796,0.14394703697352,-0.0476178254021977,0.0094115542707978,1,0.0006489067948523094,0.9993472382009929,3.855004302616146e-06
